time (UTC),temperature (celsius)
2016-02-15T00:00:00Z,4.929
2016-02-15T00:30:00Z,4.887
2016-02-15T01:00:00Z,4.821
2016-02-15T01:30:00Z,4.837
2016-02-15T02:00:00Z,4.83
2016-02-15T02:30:00Z,4.777
2016-02-15T03:00:00Z,4.801
2016-02-15T03:30:00Z,4.821
2016-02-15T04:00:00Z,4.851
2016-02-15T04:30:00Z,4.831
2016-02-15T05:00:00Z,4.885
2016-02-15T05:30:00Z,4.885
2016-02-15T06:00:00Z,4.946
2016-02-15T06:30:00Z,4.964
2016-02-15T07:00:00Z,4.826
2016-02-15T07:30:00Z,4.896
2016-02-15T08:00:00Z,4.79
2016-02-15T08:30:00Z,4.638
2016-02-15T09:00:00Z,4.671
2016-02-15T09:30:00Z,4.763
2016-02-15T10:00:00Z,4.7
2016-02-15T10:30:00Z,4.74
2016-02-15T11:00:00Z,4.716
2016-02-15T11:30:00Z,4.655
2016-02-15T12:00:00Z,4.631
2016-02-15T12:30:00Z,4.622
2016-02-15T13:00:00Z,4.677
2016-02-15T13:30:00Z,4.669
2016-02-15T14:00:00Z,4.669
2016-02-15T14:30:00Z,4.695
2016-02-15T15:00:00Z,4.728
2016-02-15T15:30:00Z,4.679
2016-02-15T16:00:00Z,4.705
2016-02-15T16:30:00Z,4.705
2016-02-15T17:00:00Z,4.688
2016-02-15T17:30:00Z,4.685
2016-02-15T18:00:00Z,4.688
2016-02-15T18:30:00Z,4.684
2016-02-15T19:00:00Z,4.683
2016-02-15T19:30:00Z,4.685
2016-02-15T20:00:00Z,4.689
2016-02-15T20:30:00Z,4.692
2016-02-15T21:00:00Z,4.682
2016-02-15T21:30:00Z,4.705
2016-02-15T22:00:00Z,4.723
2016-02-15T22:30:00Z,4.787
2016-02-15T23:00:00Z,4.795
2016-02-15T23:30:00Z,4.795
2016-02-16T00:00:00Z,4.78
2016-02-16T00:30:00Z,4.782
2016-02-16T01:00:00Z,4.774
2016-02-16T01:30:00Z,4.759
2016-02-16T02:00:00Z,4.743
2016-02-16T02:30:00Z,4.726
2016-02-16T03:00:00Z,4.728
2016-02-16T03:30:00Z,4.724
2016-02-16T04:00:00Z,4.732
2016-02-16T04:30:00Z,4.699
2016-02-16T05:00:00Z,4.68
2016-02-16T05:30:00Z,4.702
2016-02-16T06:00:00Z,4.724
2016-02-16T06:30:00Z,4.742
2016-02-16T07:00:00Z,4.764
2016-02-16T07:30:00Z,4.701
2016-02-16T08:00:00Z,4.661
2016-02-16T08:30:00Z,4.635
2016-02-16T09:00:00Z,4.603
2016-02-16T09:30:00Z,4.573
2016-02-16T10:00:00Z,4.559
2016-02-16T10:30:00Z,4.538
2016-02-16T11:00:00Z,4.524
2016-02-16T11:30:00Z,4.516
2016-02-16T12:00:00Z,4.495
2016-02-16T12:30:00Z,4.498
2016-02-16T13:00:00Z,4.498
2016-02-16T13:30:00Z,4.514
2016-02-16T14:00:00Z,4.535
2016-02-16T14:30:00Z,4.546
2016-02-16T15:00:00Z,4.555
2016-02-16T15:30:00Z,4.57
2016-02-16T16:00:00Z,4.579
2016-02-16T16:30:00Z,4.576
2016-02-16T17:00:00Z,4.599
2016-02-16T17:30:00Z,4.61
2016-02-16T18:00:00Z,4.628
2016-02-16T18:30:00Z,4.648
2016-02-16T19:00:00Z,4.667
2016-02-16T19:30:00Z,4.679
2016-02-16T20:00:00Z,4.701
2016-02-16T20:30:00Z,4.711
2016-02-16T21:00:00Z,4.741
2016-02-16T21:30:00Z,4.766
2016-02-16T22:00:00Z,4.794
2016-02-16T22:30:00Z,4.826
2016-02-16T23:00:00Z,4.846
2016-02-16T23:30:00Z,4.82
2016-02-17T00:00:00Z,4.791
2016-02-17T00:30:00Z,4.769
2016-02-17T01:00:00Z,4.745
2016-02-17T01:30:00Z,4.727
2016-02-17T02:00:00Z,4.704
2016-02-17T02:30:00Z,4.691
2016-02-17T03:00:00Z,4.676
2016-02-17T03:30:00Z,4.673
2016-02-17T04:00:00Z,4.68
2016-02-17T04:30:00Z,4.689
2016-02-17T05:00:00Z,4.649
2016-02-17T05:30:00Z,4.587
2016-02-17T06:00:00Z,4.547
2016-02-17T06:30:00Z,4.537
2016-02-17T07:00:00Z,4.522
2016-02-17T07:30:00Z,4.515
2016-02-17T08:00:00Z,4.472
2016-02-17T08:30:00Z,4.431
2016-02-17T09:00:00Z,4.399
2016-02-17T09:30:00Z,4.391
2016-02-17T10:00:00Z,4.352
2016-02-17T10:30:00Z,4.326
2016-02-17T11:00:00Z,4.349
2016-02-17T11:30:00Z,4.366
2016-02-17T12:00:00Z,4.391
2016-02-17T12:30:00Z,4.41
2016-02-17T13:00:00Z,4.413
2016-02-17T13:30:00Z,4.381
2016-02-17T14:00:00Z,4.401
2016-02-17T14:30:00Z,4.404
2016-02-17T15:00:00Z,4.449
2016-02-17T15:30:00Z,4.46
2016-02-17T16:00:00Z,4.462
2016-02-17T16:30:00Z,4.423
2016-02-17T17:00:00Z,4.522
2016-02-17T17:30:00Z,4.543
2016-02-17T18:00:00Z,4.578
2016-02-17T18:30:00Z,4.568
2016-02-17T19:00:00Z,4.56
2016-02-17T19:30:00Z,4.66
2016-02-17T20:00:00Z,4.768
2016-02-17T20:30:00Z,4.871
2016-02-17T21:00:00Z,4.969
2016-02-17T21:30:00Z,5.063
2016-02-17T22:00:00Z,5.111
2016-02-17T22:30:00Z,5.158
2016-02-17T23:00:00Z,5.157
2016-02-17T23:30:00Z,5.13
2016-02-18T00:00:00Z,5.094
2016-02-18T00:30:00Z,5.079
2016-02-18T01:00:00Z,5.072
2016-02-18T01:30:00Z,5.072
2016-02-18T02:00:00Z,5.084
2016-02-18T02:30:00Z,5.07
2016-02-18T03:00:00Z,4.905
2016-02-18T03:30:00Z,4.765
2016-02-18T04:00:00Z,4.679
2016-02-18T04:30:00Z,4.614
2016-02-18T05:00:00Z,4.591
2016-02-18T05:30:00Z,4.59
2016-02-18T06:00:00Z,4.572
2016-02-18T06:30:00Z,4.582
2016-02-18T07:00:00Z,4.59
2016-02-18T07:30:00Z,4.633
2016-02-18T08:00:00Z,4.646
2016-02-18T08:30:00Z,4.668
2016-02-18T09:00:00Z,4.726
2016-02-18T09:30:00Z,4.763
2016-02-18T10:00:00Z,4.79
2016-02-18T10:30:00Z,4.853
2016-02-18T11:00:00Z,4.899
2016-02-18T11:30:00Z,4.924
2016-02-18T12:00:00Z,4.932
2016-02-18T12:30:00Z,4.861
2016-02-18T13:00:00Z,4.906
2016-02-18T13:30:00Z,4.839
2016-02-18T14:00:00Z,4.792
2016-02-18T14:30:00Z,4.798
2016-02-18T15:00:00Z,4.824
2016-02-18T15:30:00Z,4.759
2016-02-18T16:00:00Z,4.756
2016-02-18T16:30:00Z,4.761
2016-02-18T17:00:00Z,4.779
2016-02-18T17:30:00Z,4.786
2016-02-18T18:00:00Z,4.771
2016-02-18T18:30:00Z,4.756
2016-02-18T19:00:00Z,4.77
2016-02-18T19:30:00Z,4.779
2016-02-18T20:00:00Z,4.8
2016-02-18T20:30:00Z,4.817
2016-02-18T21:00:00Z,4.837
2016-02-18T21:30:00Z,4.862
2016-02-18T22:00:00Z,4.875
2016-02-18T22:30:00Z,4.899
2016-02-18T23:00:00Z,4.901
