skill_id,skill,descr_skill,cat_skill,str_skill
1,Java,,Programming Language,
2,Scala,,Programming Language,
3,R,,Programming Language,
4,JavaScript,,Programming Language,
5,Python,,Programming Language,
6,Bash,,Command-Line Interpreter,
7,XML,,Markup Language,
8,HTML5,,Markup Language,
9,CSS,,Stylesheet Language,
10,JavaDoc,,API Documentation Syntax,
11,Markdown,,Markup Language,
12,RMarkdown,,Markup Language,
13,SQL,,Query Language,
14,XPath,,Query Language,
15,JQuery,A JavaScript library to query and manipulate DOM entities,Query Language,
16,SPARQL,An RDF query language,Query Language,
18,Pig,An abstract data analysis language,Programming Language,
19,HiveQL,"An abstract, SQL-like query language that interfaces with the low-level Java API on Hadoop",Query Language,
,JSON,,Data Serialization Format,
,YAML,,Data Serialization Format,
,CSV,,Data Serialization Format,
,ScalaDoc,,API Documentation Syntax,
,Roxygen2,,API Documentation Syntax,
,SVG,,Vector Graphics Description,
,T-SQL,Microsoft and Sybase extension to SQL,Query Language,
